1E-6
0T4
765.83 195 57 102 184 -20 -664
0.44 48 304 412 348 388 389
765.86 196 -101 34 -145 393 -512
0T5
928.87 192 178 -498 -3 -52 -631
0.40 37 253 395 318 412 284
929.17 179 68 -370 -276 221 -29
0T6
1079.17 215 252 -561 66 -328 -993
0.20 10 170 208 220 216 242
1079.23 240 257 -516 15 -330 -953
0T7
1220.97 194 263 -198 216 -157 -1244
0.37 15 322 373 437 407 419
1221.01 194 214 -197 234 -162 -1143
0T8
1356.43 186 25 -558 113 156 -1169
0.35 29 236 286 293 309 326
1356.87 187 143 -513 -145 456 -723
0T9
1487.14 189 114 -518 56 213 -1367
0.23 18 181 170 230 195 234
1487.46 190 158 -195 -285 211 -873
1T1
1235.06 230 48 -95 -148 443 18
0.67 25 46 474 212 243 287
1235.49 206 97 -2 -204 329 230
1T2
1319.07 283 -415 -112 14 229 -294
0.32 20 86 294 266 247 256
1319.28 321 -318 -76 -68 197 -279
1T3
1438.37 255 -115 -59 98 -404 -519
0.50 53 313 428 516 488 437
1438.35 257 -89 -3 111 -563 -546
1T4
1585.20 287 86 -191 75 -567 -823
0.70 81 302 523 537 423 482
1585.32 309 101 -53 -258 -23 -538
1T6
1925.29 252 376 -240 156 -1040 -1066
0.38 36 203 201 284 285 305
1925.41 248 193 -150 -146 -731 -907
