0, s, 2, 0.30928, 509.684, None
0, t, 2, 0.37917, 250.376, None
2, s, 1, 0.40396, 396.825, None
0, s, 3, 0.46856, 417.537, None
0, t, 3, 0.58616, 239.981, None
0, s, 4, 0.64707, 373.134, None
1, s, 2, 0.67985, 310.366, None
0, t, 4, 0.76566, 228.206, None
0, s, 0, 0.81431, 5326.999, None
0, s, 5, 0.84042, 355.619, None
0, t, 5, 0.92824, 216.403, None
2, s, 2, 0.93785, 95.859,  ICB
1, s, 3, 0.93983, 282.725, None
3, s, 1, 0.94395, 827.130, IC
0, s, 6, 1.03821, 347.343, None
0, t, 6, 1.07883, 205.423, None
3, s, 2, 1.10621, 366.569, IC
1, s, 4, 1.17285, 271.076, None
0, t, 7, 1.22070, 195.618, None
0, s, 7, 1.23179, 342.114, None
1, t, 1, 1.23611, 259.943, None
2, s, 3, 1.24219, 415.455, IC
1, t, 2, 1.32013, 256.345, None
0, t, 8, 1.35611, 187.056, None
1, s, 5, 1.37027, 291.886, None
2, s, 4, 1.37920, 380.228, None
4, s, 1, 1.41264, 354.988, vp
0, s, 8, 1.41351, 337.382, None
3, s, 3, 1.41719, 90.909,  ICB/ST
1, t, 3, 1.43913, 252.845, None
0, t, 9, 1.48661, 179.662, None
2, s, 5, 1.51493, 302.206, None
1, s, 6, 1.52204, 345.662, None
0, s, 9, 1.57828, 332.779, None
1, t, 4, 1.58550, 249.626, None
0, t, 10, 1.61326, 173.220, None
1, s, 0, 1.63134, 1499.250, None
1, s, 7, 1.65551, 372.162, None
2, s, 6, 1.68084, 237.925, None
5, s, 1, 1.71379, 90.752, IC
4, s, 2, 1.72230, 434.216, vp
0, s, 10, 1.72647, 327.869, None
0, t, 11, 1.73685, 167.701, None
1, t, 5, 1.75049, 246.245, None
1, s, 8, 1.79930, 379.507, None
3, s, 4, 1.83330, 89.985,  ICB/ST
0, t, 12, 1.85794, 162.920, None
0, s, 11, 1.86242, 322.061, None
2, s, 7, 1.86496, 211.595, None
1, t, 6, 1.92561, 242.189, None
1, s, 9, 1.96374, 380.373, None
0, t, 13, 1.97699, 158.806, None
6, s, 1, 1.98038, 650.195, IC
0, s, 12, 1.99037, 315.159, None
4, s, 3, 2.04897, 480.077, vp
2, s, 8, 2.04921, 197.746, None
5, s, 2, 2.09128, 317.864, IC
0, t, 14, 2.09436, 155.231, None
1, t, 7, 2.10379, 237.304, None
0, s, 13, 2.11294, 307.220, None
1, s, 10, 2.14842, 378.358,  CMB/ST
5, s, 3, 2.16966, 292.398,  IC
2, t, 1, 2.18783, 203.915, None
0, t, 15, 2.21034, 152.161, None
7, s, 1, 2.22425, 248.880, None
2, s, 9, 2.22875, 188.253, None
2, t, 2, 2.23084, 205.002, None
0, s, 14, 2.23140, 298.329, None
3, s, 5, 2.23454, 89.912,  ICB/ST
4, s, 4, 2.27960, 290.192, None
1, t, 8, 2.28023, 232.126, None
2, t, 3, 2.29497, 206.782, None
0, t, 16, 2.32519, 149.477, None
0, s, 15, 2.34638, 288.767, None
1, s, 11, 2.34754, 373.972, None
5, s, 4, 2.37952, 489.237, vp
2, t, 4, 2.37986, 209.424, None
2, s, 10, 2.40293, 181.225, None
6, s, 2, 2.41068, 92.696, None
4, s, 5, 2.41143, 282.406, None
0, t, 17, 2.43909, 147.167, None
1, t, 9, 2.45249, 227.324, None
0, s, 16, 2.45822, 278.862, None
2, t, 5, 2.48509, 213.083, None
2, s, 0, 2.51048, 1242.236, None
7, s, 2, 2.51729, 341.413, IC
3, s, 6, 2.54964, 275.558, None
0, t, 18, 2.55222, 145.138, None
1, s, 12, 2.55506, 365.230, None
0, s, 17, 2.56712, 268.889, None
2, s, 11, 2.57216, 176.180, None
2, t, 6, 2.61008, 217.817, None
1, t, 10, 2.62002, 223.264, None
4, s, 6, 2.62693, 89.799,  ICB/ST
0, t, 19, 2.66471, 143.390, None
0, s, 18, 2.67330, 259.067, None
3, s, 7, 2.68633, 269.324, None
5, s, 5, 2.70336, 502.513, vp
2, s, 12, 2.73731, 173.340, None
2, t, 7, 2.75373, 223.414, None
1, s, 13, 2.76624, 345.423, None
0, t, 20, 2.77667, 141.844, None
0, s, 19, 2.77698, 249.626, None
1, t, 11, 2.78331, 219.974, None
3, s, 8, 2.81964, 263.574,  IC
6, s, 3, 2.82172, 426.439, IC
8, s, 1, 2.87336, 930.233, IC
0, s, 20, 2.87837, 240.732, None
0, t, 21, 2.88820, 140.489, None
2, s, 13, 2.89990, 174.277, None
2, t, 8, 2.91397, 229.200, None
1, t, 12, 2.94321, 217.344, None
3, s, 9, 2.95158, 258.732, None
1, s, 14, 2.97579, 293.427, None
0, s, 21, 2.97773, 232.396, None
0, t, 22, 2.99937, 139.315, None
5, s, 6, 3.01069, 506.329, vp
4, s, 7, 3.01363, 89.678,  ICB/ST
2, s, 14, 3.06360, 187.899, None
0, s, 22, 3.07527, 224.719, None
7, s, 3, 3.08221, 89.366, None
3, s, 10, 3.08479, 254.259, None
2, t, 9, 3.08752, 234.467, None
6, s, 4, 3.09211, 345.543, None
1, t, 13, 3.10046, 215.146, None
0, t, 23, 3.11025, 138.274, None
1, s, 15, 3.17055, 203.169, None
0, s, 23, 3.17126, 217.675, None
9, s, 1, 3.19791, 222.916, None
3, t, 1, 3.20350, 215.703, None
8, s, 2, 3.21423, 338.524, None
0, t, 24, 3.22090, 137.344, None
3, s, 11, 3.22127, 249.875, None
9, s, 2, 3.23175, 407.166, IC
3, t, 2, 3.23409, 216.685, None
2, s, 15, 3.24089, 257.865, None
1, t, 14, 3.25559, 213.174, None
0, s, 24, 3.26589, 211.238, None
6, s, 5, 3.26682, 271.518, None
2, t, 10, 3.27021, 238.493, None
3, s, 0, 3.27118, 1083.424, None
3, t, 3, 3.27974, 218.103, None
8, s, 3, 3.28364, 255.363, None
5, s, 7, 3.29076, 492.854, vp
0, t, 25, 3.33135, 136.537, None
1, s, 16, 3.33862, 166.003, None
3, t, 4, 3.34020, 219.974, None
0, s, 25, 3.35938, 205.381, None
3, s, 12, 3.36207, 245.459, None
10, s, 1, 3.39409, 89.182, None
4, s, 8, 3.39691, 89.606,  ICB/ST
6, s, 6, 3.40386, 256.082, None
1, t, 15, 3.40895, 211.282, None
7, s, 4, 3.41323, 333.778,  IC
3, t, 5, 3.41515, 222.222, None
0, t, 26, 3.44164, 135.833, None
2, s, 16, 3.44346, 354.484, None
0, s, 26, 3.45191, 200.000, None
2, t, 11, 3.45767, 240.964, None
1, s, 17, 3.49394, 158.504, None
3, t, 6, 3.50429, 224.770, None
3, s, 13, 3.50744, 240.848, None
5, s, 8, 3.52565, 418.235, vp
0, s, 27, 3.54365, 195.122, None
0, t, 27, 3.55180, 135.190, None
6, s, 7, 3.55260, 255.167, None
9, s, 3, 3.55498, 777.605, IC
1, t, 16, 3.56073, 209.336, None
3, t, 7, 3.60730, 227.635, None
0, s, 28, 3.63476, 190.694, None
1, s, 18, 3.64494, 156.372, None
2, t, 12, 3.64613, 241.896, None
3, s, 14, 3.65711, 236.183, None
2, s, 17, 3.65742, 390.016, None
7, s, 5, 3.65975, 477.327, vp
0, t, 28, 3.66186, 134.644, None
11, s, 1, 3.68548, 663.570, IC
8, s, 4, 3.70273, 93.528, IC(J)
4, s, 9, 3.70876, 338.983, None
1, t, 17, 3.71101, 207.297, None
3, t, 8, 3.72389, 230.681, None
0, s, 29, 3.72534, 186.637, None
6, s, 8, 3.73762, 276.625, None
0, t, 29, 3.77184, 134.138, None
5, s, 9, 3.77780, 89.542, None
1, s, 19, 3.79389, 155.618, None
3, s, 15, 3.81048, 231.535, None
0, s, 30, 3.81552, 182.916, None
2, t, 13, 3.83288, 241.663, None
3, t, 9, 3.85378, 233.863, None
1, t, 18, 3.85982, 205.170, None
