010196C,1.345e+27, -9.85e+26, -3.59e+26, -7.266e+27, -2.364e+27, -8.56e+26
010498A,5.25e+26, -3.2e+26, -2.04e+26, 1.23e+27, 5.86e+26, 1.16e+27
011301C,-4.239e+27, 2.921e+27, 1.318e+27, 1.202e+27, -1.118e+27, -2.012e+27
011307A,-1.38e+28, 1.33e+28, 5.1e+26, -2.74e+27, -7.85e+27, 7.98e+27
011593C,-1.85e+26, 5.65e+26, -3.81e+26, 2.64e+27, 4.85e+26, -7.1e+25
012601A,2.338e+27, -3.161e+27, 8.23e+26, 1.338e+27, 1.386e+27, 1.13e+26
012706C,-2.42e+27, -6.16e+26, 3.04e+27, -1.17e+27, 1.49e+27, 1.12e+27
021796B,8.48e+27, -7.15e+27, -1.33e+27, -1.831e+28, 1.313e+28, 3.1e+27
022710A,1.04e+29, -3e+27, -1.01e+29, 2.27e+28, -1.51e+29, -1.2e+28
030385A,7.48e+27, 4.89e+26, -7.969e+27, 1.912e+27, -6.55e+27, 2.9e+25
030390B,5.43e+26, -3.061e+27, 2.517e+27, 8.33e+26, -7.1e+26, 2.71e+26
030477A,1.784e+27, -1.05e+27, -7.33e+26, -9.44e+26, -5.95e+26, -6.07e+26
030684B,-1.75e+26, 5.27e+26, -3.52e+26, 5.45e+26, -1.24e+27, -2.04e+26
030688B,1.92e+26, -4.9e+25, -1.43e+26, -1.392e+27, 1.18e+27, 4.564e+27 
030994E,-1.218e+27, 1.99e+26, 1.019e+27, -1.3e+26, -2.5e+27, 1.389e+27
031111B,1.73e+29, -2.81e+28, -1.45e+29, 2.12e+29, 4.55e+29, -6.57e+28
031883A,4.113e+27, -9.6e+26, -3.153e+27, -1.653e+27, -9.46e+26, 2.036e+27
032598B,-6.62e+27, 9.21e+27, -2.58e+27, -6.89e+27, -4.04e+27, 1.464e+28
032800C,-1.8e+25, 8.75e+26, -8.57e+26, -2.938e+27, 1.131e+27, -5.76e+26
032805D,2.66e+28, -1.14e+28, -1.53e+28, 8.39e+28, -5.68e+28, 1.48e+28
040107E,1.34e+28, -6.55e+27, -6.85e+27, 7.56e+27, 6e+25, 7.37e+27
041890B,2.726e+27, -2.475e+27, -2.51e+26, -1.761e+27, -1.098e+27, 3.2e+26
042006K,2.8e+27, -8.68e+26, -1.93e+27, 6.6e+26, 2.03e+26, -1.52e+27
042291A,2.138e+27, -1.704e+27, -4.33e+26, -1.415e+27, 1.986, 1.072e+27
050306F,6.6e+27, -1.25e+27, -5.35e+27, 8.9e+26, 8.75e+27, -3.28e+27
050786B,7.26e+27, -6.353e+27, -9.07e+26, 7.031e+27, 2.165e+27, -2.485e+27
051208A,5.63e+27, 2.6e+26, -5.89e+27, -2.85e+27, 6.2e+27, -3.13e+27
051208B,5.63e+27, 2.6e+26, -5.89e+27, -2.85e+27, 6.2e+27, -3.13e+27
052389A,1.06e+27, 1.129e+28, -1.235e+28, 5.18e+27, -9.4e+26, 3.98e+27
052581A,-4.21e+26, 2.677e+27, -2.256e+27, -4e+24, -3.25e+26, 1.14e+27
052683A,3.96e+27, -8.54e+26, -3.106e+27, -1.014e+27, -2.499e+27, -8.06e+26
060294C,1.381e+27, -1.185e+27, -1.96e+26, 5.126e+27, -7.83e+26, 1.42e+26
060400D,3.85e+27, -3.961e+27, 1.11e+26, 4e+25, -2.72e+27, -5.995e+27
060994A,-7.59e+27, 7.75e+27, -1.6e+26, -2.503e+28, 4.2e+26, -2.48e+27
061096B,4.121e+27, -4.098e+27, -2.3e+25, 6.509e+27, 1.818e+27, -1.553e+27
061278A,1.329e+27, -7.1e+25, -1.257e+27, 1.867e+27, 2.433e+27, -4.98e+26
061796A,-5.534e+27, 6.011e+27, -4.78e+26, -1.585e+27, 3.426e+27, 2.476e+27
061800A,1.58e+27, 2.772e+27, -4.353e+27, 2.966e+27, 3.472e+27, -5.894e+27
062277A,-4.89e+27, -3.1e+26, 5.2e+27, 3.69e+27, 1.232e+28, 1.65e+27
062282A,-1.11e+27, -2.13e+26, 1.323e+27, 9.31e+26, 3.05e+26, 8.15e+26
062301E,2.245e+28, -5.47e+27, -1.698e+28, 1.339e+28, -3.728e+28, 1.444e+28
070508A,-3.26e+27, -7.73e+26, 4.03e+27, -2.18e+27, -1e+27, -8.51e+26
070701F,1.138e+27, -2.1e+26, -9.28e+26, 6.77e+26, -2.845e+27, 7.71e+26
071293B,4.521e+27, -2.92e+26, -4.229e+27, 4.1e+25, -1.582e+27, 2.3e+25
071503F,-4.48e+26, 2.44e+27, -1.99e+27, -8.09e+26, -5.42e+26, 7.4e+26
071690A,-2.83e+26, 3.403e+27, -3.119e+27, -2.69e+26, 2.02e+26, -2.412e+27
071706B,1.63e+27, -1.32e+27, -3.06e+26, 4.31e+27, -5.76e+26, 3.11e+26
071780A,4.245e+27, -3.4e+26, -3.898e+27, 1.177e+27, -2.053e+27, 1.065e+27
073095A,8.261e+27, 4.25e+26, -8.686e+27, 3.02e+26, -8.674e+27, 6.42e+26
080403C,-1.04e+27, 1.55e+27, -5.14e+26, 6.47e+26, 1.96e+27, 1.15e+27
080807G,9.56e+26, -1.15e+27, 1.94e+26, 2e+27, 6.51e+26, 9.95e+26
081507F,8.47e+27, -1.31e+27, -7.16e+27, -2e+26, -7.17e+27, 3.39e+27
081676B,9.33e+27, 2.4e+26, -9.57e+27, 1.45e+27, -3.34e+27, 4.33e+27
081799A,-1.38e+26, -5.8e+25, 1.96e+26, 8.21e+26, -2.44e+26, -2.748e+27
081902C,5.79e+26, -2.47e+26, -3.32e+26, -3.547e+27, -2.315e+27, 3.5e+25
081977B,-2.471e+28, 2.411e+28, 6e+26, -2.081e+28, -1.298e+28, 9.93e+27
090292A,1.452e+27, -9.25e+26, -5.27e+26, 2.651e+27, -1.663e+27, 4.4e+26
090802H,1.823e+27, -1.014e+27, -8.09e+26, -2.66e+26, 1.895e+27, 1.575e+27
090905C,3.13e+27, -1.32e+27, -1.82e+27, -1.25e+27, 1.38e+27, 1.6e+27
092099D,2.67e+27, -9.28e+26, -1.742e+27, -1.063e+27, -1.918e+27, -1.064e+27
092503C,7.77e+27, -4.11e+27, -3.66e+27, 1.32e+28, 2.59e+28, -6.62e+27
092605B,-2.02e+27, -1.24e+26, 2.15e+27, -4.9e+25, 4.47e+26, -5.01e+26
092807I,1.53e+27, -1.88e+27, 3.49e+26, -5.1e+25, 9.21e+26, 3.62e+26
100483C,2.044e+27, 1.314e+26, -2.1754e+27, 6.794e+26, -2.5524e+27, 8.04e+25
100494B,1.214e+28, 1.087e+28, -2.301e+28, 1.782e+28, 9.8e+27, -9.39e+27
100805A,2.61e+27, -1.27e+27, -1.33e+27, 1.43e+27, 3.64e+26, 1.26e+27
100995C,3.621e+27, -2.531e+27, -1.09e+27, 9.443e+27, -5.493e+27, 1.396e+27
101192C,5.13e+26, 7.2e+25, -5.85e+26, -3.42e+26, -1.103e+27, 7.25e+26
101497A,-1.289e+27, 7.35e+26, 5.55e+26, -9.82e+26, -4.027e+27, 1.299e+27
102086B,1.4e+27, -1.51e+27, 1.1e+26, -9.66e+26, 2.521e+27, -3.347e+27
110302J,5.13e+26, -6.038e+27, 5.525e+27, 1.83e+26, 2.615e+27, -3.937e+27
110897A,-2.38e+26, -7.35e+26, 9.73e+26, 6.3e+25, 8.52e+26, 1.886e+27
111296D,3.387e+27, -4.56e+26, -2.931e+27, -2.89e+26, -2.687e+27, 1.857e+27
111401B,-5.84e+26, 1.65e+27, -1.067e+27, -8.24e+26, 3.092e+27, 4.776e+27
111407B,2.96e+27, 4.2e+25, -3e+27, 7.35e+26, -3.63e+27, 3.37e+26
111506F,1.74e+28, -5.55e+27, -1.18e+28, 1.64e+28, 2.58e+28, -7.71e+27
111703B,2.59e+27, -3.08e+27, 4.91e+26, 4e+27, 1.88e+27, -5.12e+26
112084A,-1.576e+27, 1.08e+26, 1.467e+27, 7.11e+26, -1.259e+27, -4.38e+26
112483A,1.523e+27, -1.249e+27, -2.74e+26, -4.06e+26, 7.79e+26, -3.3e+25
112978A,1.177e+27, -1.049e+27, -1.29e+26, 4.084e+27, -3.122e+27, 3.15e+26
112998B,9.04e+26, 1.471e+27, -5.67e+26, -1.999e+27, 2.911e+27, 2.93e+27
113076A,-1.79e+27, -3.5e+26, 2.14e+27, 5.5e+26, -1.42e+27, -4.4e+26
113087D,-6.46e+26, -1.232e+27, 1.878e+27, 2.554e+27, -5.84e+26, 6.581e+27
120395E,3.112e+27, -1.39e+27, -1.722e+27, 4.868e+27, 5.788e+27, -1.874e+27
120597C,3.611e+27, -8.71e+26, -2.741e+27, 2.571e+27, 2.8e+27, -1.792e+27
120678A,-1.42e+26, 4.526e+27, -4.385e+27, 5.36e+26, -3.801e+27, -2.738e+27
120907C,2.52e+27, -4.34e+27, 1.83e+27, -5.69e+27, -5.34e+26, -2.71e+27
121279A,7.85e+27, -4e+26, -7.44e+27, 2.2e+26, -1.484e+28, -2.29e+27
121292B,4.941e+27, -4.743e+27, -1.98e+26, -7.24e+26, -4.8e+26, -1.173e+27
122291B,1.398e+27, -5.91e+26, -8.07e+26, 1.397e+27, 1.899e+27, -7.94e+26
122304A,1.08e+27, 8.74e+27, -9.82e+27, 4.88e+27, -3.17e+27, -1.21e+28
122604A,1.04e+29, -4.27e+28, -6.1e+28, 2.98e+29, -2.4e+29, 4.26e+28
122894C,1.733e+27, 1.33e+26, -1.866e+27, 1.785e+27, 4.157e+27, -4.28e+26
123090D,4.7e+26, -1.003e+27, 5.33e+26, 1.274e+27, -2.44e+26, -8.39e+26
