 -4.37900E-01,-5.48518E+01
 -3.88257E-02,-5.46772E+01
 +4.43182E-01,-5.44512E+01
 +9.64534E-01,-5.48322E+01
 +1.69481E+00,-5.43990E+01
 +2.35975E+00,-5.40374E+01
 +3.02542E+00,-5.36507E+01
 +3.36894E+00,-5.38341E+01
 +3.95638E+00,-5.41267E+01
 +4.41458E+00,-5.44303E+01
 +4.82661E+00,-5.41616E+01
 +5.08372E+00,-5.43093E+01
 +5.49469E+00,-5.45429E+01
 +6.18373E+00,-5.41145E+01
 +6.62540E+00,-5.38142E+01
 +7.23729E+00,-5.41012E+01
 +7.77235E+00,-5.43960E+01
 +7.77235E+00,-5.43960E+01
 +8.28834E+00,-5.40326E+01
 +8.79876E+00,-5.36680E+01
 +9.42869E+00,-5.32326E+01
 +9.99306E+00,-5.27923E+01
 +1.05424E+01,-5.30655E+01
 +1.09748E+01,-5.33320E+01
 +1.17084E+01,-5.27829E+01
 +1.22989E+01,-5.23750E+01
 +1.28951E+01,-5.19629E+01
 +1.32042E+01,-5.21410E+01
 +1.37876E+01,-5.24769E+01
 +1.44633E+01,-5.19971E+01
 +1.51124E+01,-5.23075E+01
 +1.54280E+01,-5.20836E+01
 +1.58223E+01,-5.17870E+01
 +1.69072E+01,-5.21693E+01
 +1.78063E+01,-5.24669E+01
 +1.85374E+01,-5.27343E+01
 +1.87125E+01,-5.25529E+01
 +1.99938E+01,-5.28167E+01
 +2.12504E+01,-5.29088E+01
 +2.25042E+01,-5.30512E+01
 +2.30753E+01,-5.30977E+01
 +2.30214E+01,-5.32004E+01
 +2.38862E+01,-5.33086E+01
 +2.46851E+01,-5.34215E+01
 +2.48726E+01,-5.33453E+01
 +2.48726E+01,-5.33453E+01
 +2.51797E+01,-5.34441E+01
 +2.56475E+01,-5.34100E+01
 +2.58614E+01,-5.34799E+01
 +2.59869E+01,-5.35818E+01
 +2.61809E+01,-5.34288E+01
 +2.63382E+01,-5.30650E+01
 +2.65129E+01,-5.26201E+01
 +2.67131E+01,-5.23780E+01
 +2.73221E+01,-5.25472E+01
 +2.73704E+01,-5.26730E+01
 +2.74795E+01,-5.27708E+01
